,res,diameter,aniso_cell,area,c_perimeter,l,b
55,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 236.93588045732955
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.875e-02  1.175e-01 ...  2.069e-02  1.746e-03]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05162488742651,0.25883812297417047,1.0113935393797933,3.955284506824148,0.005600000000000001,0.22222222222222224
56,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 238.80724770561184
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.388e-02  8.756e-02 ...  2.693e-02 -6.398e-03]
     nfev: 23
     njev: 23
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05175510399424,0.25884013896874913,1.0114012675662865,3.9553038745295486,0.0067,0.22222222222222224
57,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 237.17184182873342
        x: [-1.329e+00  8.396e+00 ... -9.295e-01  7.763e+00]
      nit: 92
      jac: [-1.284e-02 -2.974e-02 ...  1.822e-02 -2.539e-02]
     nfev: 175
     njev: 175
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01098967667031,0.25828459823954525,1.0095034795580131,3.950378076559501,0.0078000000000000005,0.22222222222222224
58,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 242.5305283157258
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-3.425e-02  2.772e-02 ...  3.929e-02 -2.272e-02]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.051976615463786,0.25884349908805143,1.0114162827140154,3.955340622647697,0.0089,0.22222222222222224
59,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 241.15827914777725
        x: [-1.326e+00  8.411e+00 ... -9.357e-01  7.773e+00]
      nit: 214
      jac: [-2.325e-02 -1.735e-02 ...  1.887e-02 -3.579e-02]
     nfev: 257
     njev: 257
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01969754300572,0.2583157824644955,1.0112014337460093,3.9537351900800073,0.01,0.22222222222222224
60,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 33.978371185963226
        x: [-1.212e+00  7.969e+00 ... -9.139e-01  7.660e+00]
      nit: 1222
      jac: [-8.420e-03 -6.043e-03 ...  3.813e-03 -8.684e-03]
     nfev: 1309
     njev: 1309
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.79460745914865,0.25473263780066907,0.9411583194484024,3.8200840350763583,0.0001,0.26666666666666666
61,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 157.44570830790536
        x: [-1.279e+00  8.243e+00 ... -9.327e-01  7.729e+00]
      nit: 145
      jac: [-2.700e-02  2.374e-02 ... -3.764e-03  1.357e-02]
     nfev: 183
     njev: 183
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.82742953188987,0.25634679132311733,0.9835148090797416,3.9001659784816156,0.0012000000000000001,0.26666666666666666
62,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 194.01019439823824
        x: [-1.302e+00  8.322e+00 ... -9.320e-01  7.752e+00]
      nit: 121
      jac: [-1.627e-02  1.689e-03 ...  1.793e-02 -2.096e-02]
     nfev: 189
     njev: 189
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.881289579189364,0.2571923472836855,0.9956978900559434,3.922662337020727,0.0023,0.26666666666666666
63,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 210.8086000500648
        x: [-1.310e+00  8.355e+00 ... -9.414e-01  7.764e+00]
      nit: 247
      jac: [-6.150e-02 -1.006e-02 ...  1.157e-02 -2.173e-02]
     nfev: 428
     njev: 428
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.92134041282704,0.2574601164714625,1.0011999662963231,3.9340851892595583,0.0034,0.26666666666666666
64,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 234.82204642030857
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 4
      jac: [-5.205e-02  1.457e-01 ...  1.187e-02  6.871e-03]
     nfev: 50
     njev: 50
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.050778483006695,0.2589347664757122,1.0113102805358878,3.9549591451735013,0.0045000000000000005,0.26666666666666666
65,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 236.93588045732955
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.875e-02  1.175e-01 ...  2.069e-02  1.746e-03]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05162488742651,0.25883812297417047,1.0113935393797933,3.955284506824148,0.005600000000000001,0.26666666666666666
66,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 238.80724770561184
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.388e-02  8.756e-02 ...  2.693e-02 -6.398e-03]
     nfev: 23
     njev: 23
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05175510399424,0.25884013896874913,1.0114012675662865,3.9553038745295486,0.0067,0.26666666666666666
67,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 237.17184182873342
        x: [-1.329e+00  8.396e+00 ... -9.295e-01  7.763e+00]
      nit: 92
      jac: [-1.284e-02 -2.974e-02 ...  1.822e-02 -2.539e-02]
     nfev: 175
     njev: 175
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01098967667031,0.25828459823954525,1.0095034795580131,3.950378076559501,0.0078000000000000005,0.26666666666666666
68,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 242.5305283157258
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-3.425e-02  2.772e-02 ...  3.929e-02 -2.272e-02]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.051976615463786,0.25884349908805143,1.0114162827140154,3.955340622647697,0.0089,0.26666666666666666
69,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 241.15827914777725
        x: [-1.326e+00  8.411e+00 ... -9.357e-01  7.773e+00]
      nit: 214
      jac: [-2.325e-02 -1.735e-02 ...  1.887e-02 -3.579e-02]
     nfev: 257
     njev: 257
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01969754300572,0.2583157824644955,1.0112014337460093,3.9537351900800073,0.01,0.26666666666666666
70,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 33.978371185963226
        x: [-1.212e+00  7.969e+00 ... -9.139e-01  7.660e+00]
      nit: 1222
      jac: [-8.420e-03 -6.043e-03 ...  3.813e-03 -8.684e-03]
     nfev: 1309
     njev: 1309
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.79460745914865,0.25473263780066907,0.9411583194484024,3.8200840350763583,0.0001,0.3111111111111111
71,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 157.44570830790536
        x: [-1.279e+00  8.243e+00 ... -9.327e-01  7.729e+00]
      nit: 145
      jac: [-2.700e-02  2.374e-02 ... -3.764e-03  1.357e-02]
     nfev: 183
     njev: 183
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.82742953188987,0.25634679132311733,0.9835148090797416,3.9001659784816156,0.0012000000000000001,0.3111111111111111
72,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 194.01019439823824
        x: [-1.302e+00  8.322e+00 ... -9.320e-01  7.752e+00]
      nit: 121
      jac: [-1.627e-02  1.689e-03 ...  1.793e-02 -2.096e-02]
     nfev: 189
     njev: 189
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.881289579189364,0.2571923472836855,0.9956978900559434,3.922662337020727,0.0023,0.3111111111111111
73,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 210.8086000500648
        x: [-1.310e+00  8.355e+00 ... -9.414e-01  7.764e+00]
      nit: 247
      jac: [-6.150e-02 -1.006e-02 ...  1.157e-02 -2.173e-02]
     nfev: 428
     njev: 428
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.92134041282704,0.2574601164714625,1.0011999662963231,3.9340851892595583,0.0034,0.3111111111111111
74,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 234.82204642030857
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 4
      jac: [-5.205e-02  1.457e-01 ...  1.187e-02  6.871e-03]
     nfev: 50
     njev: 50
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.050778483006695,0.2589347664757122,1.0113102805358878,3.9549591451735013,0.0045000000000000005,0.3111111111111111
75,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 236.93588045732955
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.875e-02  1.175e-01 ...  2.069e-02  1.746e-03]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05162488742651,0.25883812297417047,1.0113935393797933,3.955284506824148,0.005600000000000001,0.3111111111111111
76,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 238.80724770561184
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.388e-02  8.756e-02 ...  2.693e-02 -6.398e-03]
     nfev: 23
     njev: 23
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05175510399424,0.25884013896874913,1.0114012675662865,3.9553038745295486,0.0067,0.3111111111111111
77,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 237.17184182873342
        x: [-1.329e+00  8.396e+00 ... -9.295e-01  7.763e+00]
      nit: 92
      jac: [-1.284e-02 -2.974e-02 ...  1.822e-02 -2.539e-02]
     nfev: 175
     njev: 175
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01098967667031,0.25828459823954525,1.0095034795580131,3.950378076559501,0.0078000000000000005,0.3111111111111111
78,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 242.5305283157258
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-3.425e-02  2.772e-02 ...  3.929e-02 -2.272e-02]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.051976615463786,0.25884349908805143,1.0114162827140154,3.955340622647697,0.0089,0.3111111111111111
79,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 241.15827914777725
        x: [-1.326e+00  8.411e+00 ... -9.357e-01  7.773e+00]
      nit: 214
      jac: [-2.325e-02 -1.735e-02 ...  1.887e-02 -3.579e-02]
     nfev: 257
     njev: 257
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01969754300572,0.2583157824644955,1.0112014337460093,3.9537351900800073,0.01,0.3111111111111111
80,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 33.978371185963226
        x: [-1.212e+00  7.969e+00 ... -9.139e-01  7.660e+00]
      nit: 1222
      jac: [-8.420e-03 -6.043e-03 ...  3.813e-03 -8.684e-03]
     nfev: 1309
     njev: 1309
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.79460745914865,0.25473263780066907,0.9411583194484024,3.8200840350763583,0.0001,0.35555555555555557
81,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 157.44570830790536
        x: [-1.279e+00  8.243e+00 ... -9.327e-01  7.729e+00]
      nit: 145
      jac: [-2.700e-02  2.374e-02 ... -3.764e-03  1.357e-02]
     nfev: 183
     njev: 183
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.82742953188987,0.25634679132311733,0.9835148090797416,3.9001659784816156,0.0012000000000000001,0.35555555555555557
82,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 194.01019439823824
        x: [-1.302e+00  8.322e+00 ... -9.320e-01  7.752e+00]
      nit: 121
      jac: [-1.627e-02  1.689e-03 ...  1.793e-02 -2.096e-02]
     nfev: 189
     njev: 189
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.881289579189364,0.2571923472836855,0.9956978900559434,3.922662337020727,0.0023,0.35555555555555557
83,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 210.8086000500648
        x: [-1.310e+00  8.355e+00 ... -9.414e-01  7.764e+00]
      nit: 247
      jac: [-6.150e-02 -1.006e-02 ...  1.157e-02 -2.173e-02]
     nfev: 428
     njev: 428
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.92134041282704,0.2574601164714625,1.0011999662963231,3.9340851892595583,0.0034,0.35555555555555557
84,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 234.82204642030857
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 4
      jac: [-5.205e-02  1.457e-01 ...  1.187e-02  6.871e-03]
     nfev: 50
     njev: 50
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.050778483006695,0.2589347664757122,1.0113102805358878,3.9549591451735013,0.0045000000000000005,0.35555555555555557
85,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 236.93588045732955
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.875e-02  1.175e-01 ...  2.069e-02  1.746e-03]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05162488742651,0.25883812297417047,1.0113935393797933,3.955284506824148,0.005600000000000001,0.35555555555555557
86,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 238.80724770561184
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.388e-02  8.756e-02 ...  2.693e-02 -6.398e-03]
     nfev: 23
     njev: 23
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05175510399424,0.25884013896874913,1.0114012675662865,3.9553038745295486,0.0067,0.35555555555555557
87,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 237.17184182873342
        x: [-1.329e+00  8.396e+00 ... -9.295e-01  7.763e+00]
      nit: 92
      jac: [-1.284e-02 -2.974e-02 ...  1.822e-02 -2.539e-02]
     nfev: 175
     njev: 175
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01098967667031,0.25828459823954525,1.0095034795580131,3.950378076559501,0.0078000000000000005,0.35555555555555557
88,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 242.5305283157258
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-3.425e-02  2.772e-02 ...  3.929e-02 -2.272e-02]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.051976615463786,0.25884349908805143,1.0114162827140154,3.955340622647697,0.0089,0.35555555555555557
89,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 241.15827914777725
        x: [-1.326e+00  8.411e+00 ... -9.357e-01  7.773e+00]
      nit: 214
      jac: [-2.325e-02 -1.735e-02 ...  1.887e-02 -3.579e-02]
     nfev: 257
     njev: 257
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01969754300572,0.2583157824644955,1.0112014337460093,3.9537351900800073,0.01,0.35555555555555557
90,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 33.978371185963226
        x: [-1.212e+00  7.969e+00 ... -9.139e-01  7.660e+00]
      nit: 1222
      jac: [-8.420e-03 -6.043e-03 ...  3.813e-03 -8.684e-03]
     nfev: 1309
     njev: 1309
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.79460745914865,0.25473263780066907,0.9411583194484024,3.8200840350763583,0.0001,0.4
91,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 157.44570830790536
        x: [-1.279e+00  8.243e+00 ... -9.327e-01  7.729e+00]
      nit: 145
      jac: [-2.700e-02  2.374e-02 ... -3.764e-03  1.357e-02]
     nfev: 183
     njev: 183
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.82742953188987,0.25634679132311733,0.9835148090797416,3.9001659784816156,0.0012000000000000001,0.4
92,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 194.01019439823824
        x: [-1.302e+00  8.322e+00 ... -9.320e-01  7.752e+00]
      nit: 121
      jac: [-1.627e-02  1.689e-03 ...  1.793e-02 -2.096e-02]
     nfev: 189
     njev: 189
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.881289579189364,0.2571923472836855,0.9956978900559434,3.922662337020727,0.0023,0.4
93,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 210.8086000500648
        x: [-1.310e+00  8.355e+00 ... -9.414e-01  7.764e+00]
      nit: 247
      jac: [-6.150e-02 -1.006e-02 ...  1.157e-02 -2.173e-02]
     nfev: 428
     njev: 428
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",33.92134041282704,0.2574601164714625,1.0011999662963231,3.9340851892595583,0.0034,0.4
94,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 234.82204642030857
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 4
      jac: [-5.205e-02  1.457e-01 ...  1.187e-02  6.871e-03]
     nfev: 50
     njev: 50
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.050778483006695,0.2589347664757122,1.0113102805358878,3.9549591451735013,0.0045000000000000005,0.4
95,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 236.93588045732955
        x: [-1.337e+00  8.400e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.875e-02  1.175e-01 ...  2.069e-02  1.746e-03]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05162488742651,0.25883812297417047,1.0113935393797933,3.955284506824148,0.005600000000000001,0.4
96,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 238.80724770561184
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-4.388e-02  8.756e-02 ...  2.693e-02 -6.398e-03]
     nfev: 23
     njev: 23
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.05175510399424,0.25884013896874913,1.0114012675662865,3.9553038745295486,0.0067,0.4
97,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 237.17184182873342
        x: [-1.329e+00  8.396e+00 ... -9.295e-01  7.763e+00]
      nit: 92
      jac: [-1.284e-02 -2.974e-02 ...  1.822e-02 -2.539e-02]
     nfev: 175
     njev: 175
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01098967667031,0.25828459823954525,1.0095034795580131,3.950378076559501,0.0078000000000000005,0.4
98,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 242.5305283157258
        x: [-1.337e+00  8.401e+00 ... -9.258e-01  7.755e+00]
      nit: 2
      jac: [-3.425e-02  2.772e-02 ...  3.929e-02 -2.272e-02]
     nfev: 24
     njev: 24
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.051976615463786,0.25884349908805143,1.0114162827140154,3.955340622647697,0.0089,0.4
99,"  message: CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
  success: True
   status: 0
      fun: 241.15827914777725
        x: [-1.326e+00  8.411e+00 ... -9.357e-01  7.773e+00]
      nit: 214
      jac: [-2.325e-02 -1.735e-02 ...  1.887e-02 -3.579e-02]
     nfev: 257
     njev: 257
 hess_inv: <9900x9900 LbfgsInvHessProduct with dtype=float64>",34.01969754300572,0.2583157824644955,1.0112014337460093,3.9537351900800073,0.01,0.4
